,categoryName1,watchTimes1,categoryName,watchTime_min,categoryRatio,channelTitle,watchTimes2,channelLink,language,lanCounts
58,,,,,,Trophy Reacts,6,https://www.youtube.com/channel/UCXS8sSbgFI3BnRx2bDvCGug,,
59,,,,,,밀키복이탄이MilkyBokiTan,5,https://www.youtube.com/channel/UCP1CQH2PVJv4-glNTuVJl3g,,
60,,,,,,Gaane Naye Purane,5,https://www.youtube.com/channel/UCZdugX2AUbCBe_qs5OScKAQ,,
61,,,,,,Unacademy Accelerate,5,https://www.youtube.com/channel/UCAuzWUDsz28MDsv2yUgkuCw,,
62,,,,,,Karan Nawani,5,https://www.youtube.com/channel/UCWNfGTMI1JHmvRbz15x6nEw,,
63,,,,,,ALL ABOUT ELECTRONICS,5,https://www.youtube.com/channel/UCBkOVp1Cqz4MR0LYR8vKpZg,,
64,,,,,,Outdoor Boys,5,https://www.youtube.com/channel/UCfpCQ89W9wjkHc8J_6eTbBg,,
65,,,,,,Music Travel Love,5,https://www.youtube.com/channel/UCLxAS02eWvfZK4icRNzWD_g,,
66,,,,,,Windies Cricket,5,https://www.youtube.com/channel/UC2MHTOXktfTK26aDKyQs3cQ,,
67,,,,,,mycodeschool,5,https://www.youtube.com/channel/UClEEsT7DkdVO_fkrBw0OTrA,,
68,,,,,,Star Sports,5,https://www.youtube.com/channel/UCmqfX0S3x0I3uwLkPdpX03w,,
69,,,,,,AvenueM,5,https://www.youtube.com/channel/UChNXwg5mrBWQDxdG9lp6zLA,,
70,,,,,,Joker Is ME,4,https://www.youtube.com/channel/UC1A6qwJmTY77-n_HqqLNUFw,,
71,,,,,,Love Babbar,4,https://www.youtube.com/channel/UCQHLxxBFrbfdrk1jF0moTpw,,
72,,,,,,Arpit Bala,4,https://www.youtube.com/channel/UCsDWHhhHhsBqSGm_v4I0qVQ,,
73,,,,,,Drishti IAS,4,https://www.youtube.com/channel/UCzLqOSZPtUKrmSEnlH4LAvw,,
74,,,,,,Theory_of_Physics by Er. Anubhav_Shrivastava,4,https://www.youtube.com/channel/UCSrwhbt5DQZgTRnlPZ7EwXw,,
75,,,,,,Tips Official,4,https://www.youtube.com/channel/UCJrDMFOdv1I2k8n9oK_V21w,,
76,,,,,,Coding With T,4,https://www.youtube.com/channel/UCnKhcV7frITmrYbIU5MrMZw,,
77,,,,,,Dharma Productions,4,https://www.youtube.com/channel/UCKQKIY2YlI4L5QVg7hhfjrQ,,
78,,,,,,अंतरिक्ष TV,4,https://www.youtube.com/channel/UCZ1OsbnPa1RX6rl9NWlRTOg,,
79,,,,,,Mumbiker Nikhil,4,https://www.youtube.com/channel/UCNn6AaHharXIbkRleXGboiQ,,
80,,,,,,Vikas Divyakirti,4,https://www.youtube.com/channel/UCkrtAaoos4rxt2cw2CIBjuA,,
81,,,,,,Zee Music Devotional,4,https://www.youtube.com/channel/UCAxc94GxnW6mi1ACG_gElIQ,,
82,,,,,,Netflix,4,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw,,
83,,,,,,Rakib Sultan Music,4,https://www.youtube.com/channel/UCLmnRaMcK17v0j1i_9No-ZQ,,
84,,,,,,SocioCatastropheTV,4,https://www.youtube.com/channel/UCZIG40L2LjIvcOrc-0yUr1A,,
85,,,,,,First Principles of Computer Vision,4,https://www.youtube.com/channel/UCf0WB91t8Ky6AuYcQV0CcLw,,
86,,,,,,Prime Video India,3,https://www.youtube.com/channel/UC4zWG9LccdWGUlF77LZ8toA,,
87,,,,,,Sri Lanka Cricket,3,https://www.youtube.com/channel/UCJA-NQ4MtcRIog66wziD8fA,,
88,,,,,,Last moment tuitions,3,https://www.youtube.com/channel/UCGFNZxMqKLsqWERX_N2f08Q,,
89,,,,,,Lakshay Chaudhary,3,https://www.youtube.com/channel/UCw-MAyENxFQmVTOLwlg9YkA,,
90,,,,,,NeetCode,3,https://www.youtube.com/channel/UC_mYaQAE6-71rjSN6CeCA-g,,
91,,,,,,Chhotu Shikari Official,3,https://www.youtube.com/channel/UClXPLxleq-pTUsmzZnjcU-A,,
92,,,,,,Bollywood Classics,3,https://www.youtube.com/channel/UCZ_OLiS7DkyCg89eV_qQMoQ,,
93,,,,,,Wheels On The Bus - Hindi Songs,3,https://www.youtube.com/channel/UCoqqwkxHzr2JJLcfmbyJYrw,,
94,,,,,,Cricket Heroes,3,https://www.youtube.com/channel/UCIw95pcLsnuBMW1nwnefFEg,,
95,,,,,,Saddam Hossain,3,https://www.youtube.com/channel/UClAxwlptNEzwAyj99J_3qLQ,,
96,,,,,,Paramount Pictures,3,https://www.youtube.com/channel/UCF9imwPMSGz4Vq1NiTWCC7g,,
97,,,,,,The Knowledge,3,https://www.youtube.com/channel/UCENLJimUiMr6Lo0shZ1Vq_A,,
98,,,,,,Bollywood Classic Hits,3,https://www.youtube.com/channel/UCcOXMFj-H8IUezqIVMb-f2A,,
99,,,,,,Aakash Gupta,3,https://www.youtube.com/channel/UCAYum5hCyfkSH5T3vSD_kwQ,,
100,,,,,,ECHOPHONIX LIVE !,3,https://www.youtube.com/channel/UCczcbZkOtH4BCa-YaBMC4Aw,,
101,,,,,,Mirchi Murga,3,https://www.youtube.com/channel/UCiymGrMPtIZHuVlChqjEW_Q,,
102,,,,,,Raunaq Rajani,3,https://www.youtube.com/channel/UC6E6CgKiRlUxwmEW1Sd9_vQ,,
103,,,,,,Code Eater,3,https://www.youtube.com/channel/UCkSQ_IQHqzygX0gGr7-SRwg,,
104,,,,,,Shemaroo Filmi Gaane,3,https://www.youtube.com/channel/UCP6uH_XlsxrXwZQ4DlqbqPg,,
105,,,,,,Brennan Rogers,3,https://www.youtube.com/channel/UC4xHcg7a7hMoHgXerjRKiyA,,
106,,,,,,Omar Raja - ESPN,3,https://www.youtube.com/channel/UCx18ywTcohtS9lpNXt8noWQ,,
107,,,,,,Radhika Sarraf,3,https://www.youtube.com/channel/UC0f1Qy0OBBZ-jaOucfeoy_Q,,
108,,,,,,Simplilearn,3,https://www.youtube.com/channel/UCsvqVGtbbyHaMoevxPAq9Fg,,
109,,,,,,Netflix India,3,https://www.youtube.com/channel/UCZSNzBgFub_WWil6TOTYwAg,,
110,,,,,,CricketCloud,3,https://www.youtube.com/channel/UC9l5bbc-S94CfORkfZXBQIg,,
111,,,,,,The Daily Dropout,3,https://www.youtube.com/channel/UCklSaeqb0wONcyEv44PV-iQ,,
112,,,,,,OneDirectionVEVO,3,https://www.youtube.com/channel/UCbW18JZRgko_mOGm5er8Yzg,,
113,,,,,,Kush Plays,3,https://www.youtube.com/channel/UCfQJCK7bAGYMqxhAloofOTw,,
114,,,,,,Marvel Entertainment,3,https://www.youtube.com/channel/UCvC4D8onUfXzvjTOM-dBfEA,,
115,,,,,,Officiallysane - Mohammed Hussain,3,https://www.youtube.com/channel/UCVktqSNarH5T2zUUpcyABcA,,
116,,,,,,Ravi Gupta,3,https://www.youtube.com/channel/UCyGR5vfdIzNj6VRY13nzO-g,,
117,,,,,,BLACKPINK,3,https://www.youtube.com/channel/UCOmHUn--16B90oW2L6FRR3A,,
118,,,,,,EECE412_online,3,https://www.youtube.com/channel/UCpoaOrFGo1-ZvIn2_a82RDw,,
119,,,,,,Amit Das 2,3,https://www.youtube.com/channel/UC4GW5WspUxQi9QsU-6doyng,,
120,,,,,,PUBLICVEVO,3,https://www.youtube.com/channel/UCRRSD6HTnqBxaPyRmp9g7EA,,
121,,,,,,Elliot James Reay,3,https://www.youtube.com/channel/UCjRY3LMCmrP6zdsW-Du1WxA,,
122,,,,,,5 Minutes Engineering,3,https://www.youtube.com/channel/UCyHta2dyCTkf29AB67AYn7A,,
123,,,,,,T-Series Bollywood Classics,3,https://www.youtube.com/channel/UCRm96I5kmb_iGFofE5N691w,,
124,,,,,,Funny Vines,3,https://www.youtube.com/channel/UCn2WuLhvfQL5YjxbOELgfqA,,
125,,,,,,Ishtar Music,3,https://www.youtube.com/channel/UCWi_65E_L8tQZ34C6wVAlpQ,,
126,,,,,,Jingle Toons,3,https://www.youtube.com/channel/UCK9F8nycURBsR0YlrBsu1Ag,,
127,,,,,,Speed Records,3,https://www.youtube.com/channel/UCOsyDsO5tIt-VZ1iwjdQmew,,
128,,,,,,New West,3,https://www.youtube.com/channel/UCO6OtN39Z032lqFanHOABcQ,,
129,,,,,,ANIL CHAUHAN KARAOKE,3,https://www.youtube.com/channel/UCsi4QwYvZDpnzEy2ug-4AtQ,,
130,,,,,,Passenger,3,https://www.youtube.com/channel/UCFHtCB_FWXQ8GpjgfYcD8-g,,
131,,,,,,Khan Academy India - English,2,https://www.youtube.com/channel/UCg4BkaHyyE_4-RvEMJ2PTtA,,
132,,,,,,Mewing Guru,2,https://www.youtube.com/channel/UCoKku6CNsss6-Rj-iRs4A9A,,
133,,,,,,RK Physics Point,2,https://www.youtube.com/channel/UCFtJyYqoMG7h9yRgltyuEUw,,
134,,,,,,Mrs Downey,2,https://www.youtube.com/channel/UCnsWd9r3Wsn7uFb95VzVkdQ,,
135,,,,,,Proximity,2,https://www.youtube.com/channel/UC3ifTl5zKiCAhHIBQYcaTeg,,
136,,,,,,LEARN THOUGHT,2,https://www.youtube.com/channel/UCTkGzqsJ0LKbfrIXB9U0V8g,,
137,,,,,,Sid Academy,2,https://www.youtube.com/channel/UCFJqXynINKyJQ798090vmyQ,,
138,,,,,,Patrick Mercier,2,https://www.youtube.com/channel/UCpqkFvXUx4YUfx_LE8VCwZw,,
139,,,,,,The Viral Fever,2,https://www.youtube.com/channel/UCNJcSUSzUeFm8W9P7UUlSeQ,,
140,,,,,,Colors Cineplex,2,https://www.youtube.com/channel/UCYnMzKK6hcpnlRCxGnPwk6Q,,
141,,,,,,harshlikhariofficial2007,2,https://www.youtube.com/channel/UCgzEBjTP7ZS7TTdpmy-hy8A,,
